lat prs camp flt x yday
-25 450 24 5 0.2064184 123
-15 450 24 5 -0.2124955 123
-45 550 24 5 0.2232553 123
-35 550 24 5 0.4535173 123
-25 550 24 5 0.1236716 123
-15 550 24 5 -0.2697625 123
-45 650 24 5 0.311632 123
-35 650 24 5 0.5199114 123
-25 650 24 5 0.1329518 123
-15 650 24 5 -0.3115316 123
-45 750 24 5 0.2846209 123
-35 750 24 5 0.6247 123
-25 750 24 5 0.2885265 123
-15 750 24 5 -0.2683846 123
-45 850 24 5 0.2948684 123
-35 850 24 5 0.69324 123
-25 850 24 5 0.395093 123
-15 850 24 5 -0.1878385 123
-45 950 24 5 0.3742788 123
-35 950 24 5 0.6485306 123
-25 950 24 5 0.3869839 123
-15 950 24 5 -0.1608167 123
-65 350 21 6 0.09084076 225
-55 350 21 6 0.2328878 225
-45 350 21 6 0.1556923 225
-65 450 21 6 0.02081242 225
-55 450 21 6 0.1083889 225
-45 450 21 6 0.3589912 225
-65 550 21 6 0.1075046 225
-55 550 21 6 0.1499987 225
-45 550 21 6 0.4157341 225
-65 650 21 6 0.1146639 225
-55 650 21 6 0.101456 225
-45 650 21 6 0.4440824 225
-65 750 21 6 0.03612568 225
-55 750 21 6 0.1793424 225
-45 750 21 6 0.4781374 225
-65 850 21 6 0.08048909 225
-55 850 21 6 0.2796584 225
-45 850 21 6 0.6073519 225
-65 950 21 6 0.146904 225
-55 950 21 6 0.2824174 225
-45 950 21 6 0.6701143 225
-65 350 22 6 0.4757326 41
-55 350 22 6 0.358385 41
-45 350 22 6 0.7279474 41
-65 450 22 6 0.4709978 41
-55 450 22 6 0.3347125 41
-45 450 22 6 1.080185 41
-65 550 22 6 0.3892875 41
-55 550 22 6 0.1706589 41
-45 550 22 6 0.9438211 41
-65 650 22 6 0.390832 41
-55 650 22 6 0.3236261 41
-45 650 22 6 1.133148 41
-65 750 22 6 0.3664502 41
-55 750 22 6 0.2176638 41
-65 850 22 6 0.3802898 41
-55 850 22 6 0.01539685 41
-65 950 22 6 0.3770312 41
-55 950 22 6 0.01982931 41
-65 350 23 6 0.2992978 284
-55 350 23 6 0.1518663 284
-45 350 23 6 0.3395 284
-65 450 23 6 0.13253 284
-55 450 23 6 0.1149922 284
-45 450 23 6 0.1643304 284
-65 550 23 6 0.09218313 284
-55 550 23 6 0.052136 284
-45 550 23 6 0.3440452 284
-65 650 23 6 0.08203676 284
-55 650 23 6 -0.04874912 284
-45 650 23 6 0.4267364 284
-65 750 23 6 0.09303768 284
-55 750 23 6 0.001683673 284
-45 750 23 6 0.3215292 284
-65 850 23 6 0.07252027 284
-55 850 23 6 0.0470092 284
-45 850 23 6 0.5004929 284
-65 950 23 6 0.05893905 284
-55 950 23 6 0.04654154 284
-45 950 23 6 0.2965444 283.1111
