lat prs camp flt x yday
-5 350 21 4 340.3865 219
5 350 21 4 341.3701 219
15 350 21 4 340.7939 219
-15 450 21 4 332.4275 219
-5 450 21 4 333.4947 219
5 450 21 4 333.6856 219
15 450 21 4 331.9025 219
-15 550 21 4 323.2096 219
-5 550 21 4 325.291 219
5 550 21 4 324.8796 219
15 550 21 4 325.2553 219
-15 650 21 4 318.0498 219
-5 650 21 4 319.6331 219
5 650 21 4 319.3715 219
15 650 21 4 317.7584 219
-15 750 21 4 312.7481 219
-5 750 21 4 313.1622 219
5 750 21 4 312.9453 219
15 750 21 4 311.7908 219
-15 850 21 4 305.707 219
-5 850 21 4 305.9526 219
5 850 21 4 306.5135 219
15 850 21 4 305.5856 218.9853
-15 950 21 4 301.3601 219
-5 950 21 4 300.7758 219
5 950 21 4 300.3809 219
15 950 21 4 300.0481 218.9182
-15 350 22 4 342.5253 34
-5 350 22 4 343.4722 34
5 350 22 4 344.4157 34
15 350 22 4 341.0078 34
-15 450 22 4 334.2601 34
-5 450 22 4 334.1721 34
5 450 22 4 334.1265 34
15 450 22 4 329.8256 34
-15 550 22 4 325.1355 34
-5 550 22 4 325.0322 34
5 550 22 4 324.5933 34
15 550 22 4 321.5934 34
-15 650 22 4 317.2846 34
-5 650 22 4 318.1465 34
5 650 22 4 319.1298 34
15 650 22 4 314.4056 34
-15 750 22 4 311.7167 34
-5 750 22 4 312.7226 34
5 750 22 4 312.2492 34
15 750 22 4 309.02 34
-15 850 22 4 305.3097 34
-5 850 22 4 305.4894 34
5 850 22 4 305.2956 34
15 850 22 4 302.0407 34
-15 950 22 4 301.417 34
-5 950 22 4 301.5601 34
5 950 22 4 300.9022 34
15 950 22 4 297.7788 34
-15 350 23 4 341.8284 279
-5 350 23 4 341.2894 279
5 350 23 4 341.2764 279
15 350 23 4 338.0334 279
-15 450 23 4 330.7216 279
-5 450 23 4 332.6782 279
5 450 23 4 333.7329 279
15 450 23 4 331.4548 279
-15 550 23 4 322.0328 279
-5 550 23 4 325.4325 279
5 550 23 4 324.6021 279
15 550 23 4 325.3565 279
-15 650 23 4 316.1855 279
-5 650 23 4 319.2489 279
5 650 23 4 317.991 279
15 650 23 4 317.7958 279
-15 750 23 4 310.744 279
-5 750 23 4 313.2592 279
5 750 23 4 312.3024 279
15 750 23 4 312.845 279
-15 850 23 4 305.6547 279
-5 850 23 4 306.7103 279
5 850 23 4 306.6446 279
15 850 23 4 305.0965 279
-15 950 23 4 301.8696 279
-5 950 23 4 301.9533 279
5 950 23 4 301.6924 279
15 950 23 4 301.0125 279
-15 350 24 4 340.6752 121
-5 350 24 4 341.0683 121
5 350 24 4 340.5818 121
15 350 24 4 339.9153 121
-15 450 24 4 331.5096 121
-5 450 24 4 332.7446 121
5 450 24 4 333.0376 121
15 450 24 4 329.7372 121
-15 550 24 4 322.6742 121
-5 550 24 4 325.4139 121
5 550 24 4 324.5387 121
15 550 24 4 322.1685 121
-15 650 24 4 315.2335 121
-5 650 24 4 318.5711 121
5 650 24 4 318.2649 121
15 650 24 4 316.17 121
-15 750 24 4 308.7626 121
-5 750 24 4 312.7977 121
5 750 24 4 312.354 121
15 750 24 4 311.3345 121
-15 850 24 4 302.7968 121
-5 850 24 4 306.6425 121
5 850 24 4 305.9535 121
15 850 24 4 305.1529 121
-15 950 24 4 299.6075 121
-5 950 24 4 301.2791 121
5 950 24 4 301.5561 121
15 950 24 4 298.8074 121
-45 350 21 5 304.5966 221
-35 350 21 5 315.8759 221
-25 350 21 5 335.8248 221
-15 350 21 5 340.2494 221
-45 450 21 5 300.5574 221
-35 450 21 5 305.4983 221
-25 450 21 5 327.855 221
-15 450 21 5 330.0511 221
-45 550 21 5 296.8501 221
-35 550 21 5 300.3005 221
-25 550 21 5 319.2624 221
-15 550 21 5 323.1685 221
-45 650 21 5 294.3607 221
-35 650 21 5 296.1711 221
-25 650 21 5 310.4991 221
-15 650 21 5 316.7252 221
-45 750 21 5 291.6184 221
-35 750 21 5 292.4996 221
-25 750 21 5 305.2204 221
-15 750 21 5 309.5887 221
-45 850 21 5 284.4579 221
-35 850 21 5 286.4656 221
-25 850 21 5 300.883 221
-15 850 21 5 304.2795 221
-45 950 21 5 279.0538 221
-35 950 21 5 284.2247 221
-25 950 21 5 293.9294 221
-15 950 21 5 300.8998 221
-55 350 22 5 307.1067 36
-45 350 22 5 333.6305 36
-35 350 22 5 333.3052 36
-25 350 22 5 340.0068 36
-15 350 22 5 338.2249 36
-55 450 22 5 307.1408 36
-45 450 22 5 327.0892 36
-35 450 22 5 326.9339 36
-25 450 22 5 329.984 36
-15 450 22 5 333.612 36
-55 550 22 5 302.0018 36
-45 550 22 5 321.0446 36
-35 550 22 5 321.9493 36
-25 550 22 5 324.1195 36
-15 550 22 5 324.7664 36
-55 650 22 5 297.1288 36
-45 650 22 5 314.0898 36
-35 650 22 5 317.174 36
-25 650 22 5 316.4253 36
-15 650 22 5 317.5746 36
-55 750 22 5 292.1771 36
-45 750 22 5 309.1855 36
-35 750 22 5 311.4621 36
-25 750 22 5 310.9986 36
-15 750 22 5 312.316 36
-55 850 22 5 287.7042 36
-45 850 22 5 303.9096 36
-35 850 22 5 303.7753 36
-25 850 22 5 305.058 36
-15 850 22 5 307.6482 36
-55 950 22 5 284.1318 36
-45 950 22 5 293.4337 36
-35 950 22 5 294.463 36
-25 950 22 5 298.6355 36
-55 350 23 5 315.4614 281
-45 350 23 5 316.1244 281
-35 350 23 5 321.6919 281
-25 350 23 5 330.0919 281
-15 350 23 5 329.752 281
-55 450 23 5 310.457 281
