latitude pressure AMES_IS BAKER_IS CAMS_IS CMS-FLUX_IS COLA_IS CT_IS OU_IS TM5-4DVAR_IS UT_IS WOMBAT_IS AMES_OG BAKER_OG CAMS_OG CMS-FLUX_OG COLA_OG CT_OG OU_OG TM5-4DVAR_OG UT_OG WOMBAT_OG AMES_LNLG BAKER_LNLG CAMS_LNLG CMS-FLUX_LNLG COLA_LNLG CT_LNLG OU_LNLG TM5-4DVAR_LNLG UT_LNLG WOMBAT_LNLG AMES_LNLGOGIS BAKER_LNLGOGIS CAMS_LNLGOGIS CMS-FLUX_LNLGOGIS COLA_LNLGOGIS CT_LNLGOGIS OU_LNLGOGIS TM5-4DVAR_LNLGOGIS UT_LNLGOGIS WOMBAT_LNLGOGIS AMES_LNLGIS BAKER_LNLGIS CAMS_LNLGIS CMS-FLUX_LNLGIS COLA_LNLGIS CT_LNLGIS OU_LNLGIS TM5-4DVAR_LNLGIS UT_LNLGIS WOMBAT_LNLGIS
65 750 0.9008588 1.012428 0.8621944 0.7330539 0.2464529 0.7056512 0.6013664 0.7917744 0.415641 0.9689495 1.441242 1.701385 2.269396 1.329448 1.916162 1.737891 1.497949 1.722358 1.734205 1.908836 0.7401104 0.5719234 1.258395 0.4831176 0.5313165 0.912235 0.5403467 0.7801568 0.8459191 0.8455295 1.181978 1.44515 2.059809 0.6368845 0.8369902 0.560458 1.043327 1.261251 0.5024976 1.194768 0.9362516 0.8536987 1.262263 0.5224803 0.5122217 0.8036459 0.5905215 0.7888754 0.5024976 0.8501325
75 750 0.2744353 -0.1548782 -0.2654825 0.01735672 -0.5890454 -0.457258 -0.2960194 -0.1093842 -0.1852214 0.0257126 0.7836575 1.067758 1.368389 0.8361622 1.249389 1.076253 0.7832517 1.048117 1.063364 1.099856 -0.02353428 -0.3698331 0.4224414 -0.3260947 -0.1104755 -0.05222183 -0.2566587 0.04711396 0.05539798 0.05336524 0.4303075 0.5120393 1.052946 0.03253313 -0.01374731 -0.3627831 0.1965293 0.475641 -0.1206973 0.287562 0.2414299 -0.2249328 0.2861165 -0.2002432 -0.2519009 0.1177509 -0.2417219 0.01836609 -0.1206973 -0.05895583
-65 850 -3.962142 -3.835564 -3.928746 -3.753598 -3.907154 -3.882992 -3.816983 -4.001636 -3.814359 -3.980391 -3.683221 -3.709887 -3.487034 -3.666962 -3.899544 -3.46506 -3.377967 -3.698917 -3.747658 -3.783424 -4.194998 -4.35122 -3.734336 -4.013055 -4.331602 -4.696054 -3.633675 -3.639222 -4.034146 -4.284879 -3.950178 -3.783394 -3.37144 -3.85121 -3.885867 -3.744609 -3.640546 -4.242241 -3.791127 -3.962766 -3.996508 -3.985575 -3.986803 -3.860189 -3.973804 -3.75306 -3.809153 -3.989338 -3.791127 -4.002486
-55 850 -3.839409 -3.632932 -3.786265 -3.614792 -3.730522 -3.739411 -3.702861 -3.851846 -3.714893 -3.811345 -3.462095 -3.204993 -3.265182 -3.526295 -3.497519 -3.277157 -3.232982 -3.270678 -3.655615 -3.57537 -4.044858 -4.380733 -3.654667 -3.899683 -4.188197 -4.208391 -3.568258 -3.686133 -3.966959 -4.14951 -3.80068 -3.182321 -3.183778 -3.702489 -3.596489 -3.624345 -3.458821 -3.811294 -3.665518 -3.772431 -3.893353 -3.749298 -3.849781 -3.729071 -3.821772 -3.529516 -3.693352 -3.851734 -3.665518 -3.841697
-45 850 -3.513891 -3.263264 -3.426414 -3.200038 -3.274253 -3.479733 -3.483681 -3.494953 -3.356954 -3.553754 -3.045609 -3.115206 -2.802399 -3.104399 -3.185388 -2.958542 -2.958954 -2.900229 -3.227178 -3.219455 -3.565576 -3.827466 -3.315441 -3.455818 -3.902391 -3.704255 -3.372966 -3.435824 -3.634426 -3.672251 -3.382781 -3.118497 -2.865366 -3.272858 -3.301256 -3.285581 -3.18579 -3.327283 -3.319787 -3.409588 -3.523578 -3.435493 -3.406238 -3.279018 -3.549248 -3.351712 -3.490047 -3.480202 -3.319787 -3.471343
-35 850 -3.190818 -3.121675 -3.339189 -3.060009 -3.284341 -3.223251 -3.250681 -3.338336 -3.008431 -3.188706 -2.567239 -2.459558 -2.402036 -2.904303 -3.049782 -2.822173 -2.673235 -2.610024 -2.955424 -2.77519 -3.241303 -3.773833 -3.209614 -3.312368 -3.886652 -3.106631 -3.249696 -3.278267 -3.670773 -3.560315 -3.014396 -2.597038 -2.489507 -3.124101 -3.221096 -2.932265 -2.871084 -2.899431 -3.030359 -3.040018 -3.274355 -3.404092 -3.324876 -3.114504 -3.570059 -3.026328 -3.320178 -3.303516 -3.030359 -3.192657
-25 850 -2.709936 -2.620918 -2.922078 -2.437846 -2.901076 -2.737448 -2.784268 -2.754734 -2.541254 -2.640992 -2.553364 -2.668812 -2.495806 -2.300922 -2.82668 -2.652114 -2.462728 -2.472573 -2.453554 -2.475964 -2.602165 -2.907903 -2.843881 -2.525994 -3.295234 -2.747267 -2.701096 -2.75437 -2.621246 -2.772666 -2.56219 -2.667823 -2.482658 -2.42306 -2.695265 -2.601165 -2.499256 -2.523998 -2.448154 -2.564417 -2.654812 -2.74964 -2.875348 -2.409804 -3.084897 -2.673808 -2.757624 -2.77185 -2.448154 -2.656495
-15 850 -2.335518 -2.3886 -2.487987 -2.094842 -2.52373 -2.150594 -2.293316 -2.285682 -2.129989 -2.300278 -2.323406 -2.70873 -2.224222 -2.048245 -2.530328 -2.192994 -2.196148 -2.303834 -2.189295 -2.079195 -2.250889 -2.59856 -2.526526 -2.215783 -2.490452 -2.33805 -2.289398 -2.388902 -2.295892 -2.417854 -2.305148 -2.683892 -2.259853 -2.128518 -2.468727 -2.20648 -2.230263 -2.289356 -2.173087 -2.198446 -2.29357 -2.520404 -2.50229 -2.060184 -2.389951 -2.153172 -2.302535 -2.31753 -2.173087 -2.371245
-5 850 -1.16967 -1.383881 -1.396193 -0.7265614 -1.237529 -1.148509 -1.303766 -1.215934 -0.5234305 -0.5753118 -1.456676 -2.169273 -1.294282 -0.8826209 -1.293519 -1.102313 -1.371088 -1.304419 -1.247581 -0.8592651 -0.9455331 -1.068847 -1.123845 -0.5755683 -0.8247101 -1.309701 -1.034773 -0.8532532 -0.9338196 -0.9137221 -1.099959 -1.798815 -1.206248 -0.7695613 -0.7885558 -1.280577 -1.31234 -1.229153 -0.9173594 -0.875893 -0.6841863 -1.119805 -1.183362 -0.4955511 -0.7420646 -1.117299 -1.017004 -0.7662864 -0.9173594 -0.9639869
5 850 -0.6552699 -1.078112 -0.5645887 -0.4368853 -0.9839858 -0.8641471 -0.824012 -0.7630257 0.07529191 0.03284583 -0.5991173 -1.178105 -0.304954 -0.3563234 -0.07363484 -0.6691989 -0.6278958 -0.5007111 -0.165395 -0.2290409 -0.733152 -1.085309 -0.6365203 -0.4018709 -0.6640655 -1.074834 -0.6891836 -0.7861927 -0.1595526 -0.4453148 -0.6012843 -1.079646 -0.4809638 -0.3750546 -0.9673312 -0.6547609 -0.7382455 -0.7326179 -0.2366137 -0.3389344 -0.5120873 -1.088435 -0.585132 -0.2727096 -0.5637145 -0.830136 -0.6719214 -0.7300922 -0.2366137 -0.4613516
15 850 -0.4934708 -0.1801382 -0.01831408 -0.3412117 -0.7479004 -0.337463 -0.2912277 -0.2592871 -0.3428982 -0.1061829 0.1967635 0.335997 0.6130871 0.01806344 1.231204 0.107185 0.1314821 0.3398115 0.1059943 0.3142438 -0.3582334 -0.1148003 0.1338868 -0.3929262 -0.24809 -0.3450445 -0.2395056 -0.1291154 -0.2123527 -0.2812983 -0.1002321 0.2015402 0.3939999 -0.2084395 -0.2787467 -0.1846454 -0.05119109 0.06369723 -0.3490287 -0.030828 -0.3757424 -0.1038965 0.140763 -0.226157 -0.2528604 -0.296598 -0.2495576 -0.2053878 -0.3490287 -0.2692058
25 850 0.2318197 -0.01809055 0.1297742 0.3316348 -0.1947324 0.1758845 0.1489661 0.1857719 0.04191348 0.1995314 1.141363 1.127102 1.332143 0.8631616 1.362182 0.7021207 0.7624033 0.9687867 0.9884853 0.9620684 0.3295377 -0.01763687 0.5357259 0.237924 0.3878042 0.118179 0.09953977 0.138919 0.3482648 0.1247192 0.7119566 0.7053298 1.055275 0.4328612 0.5361963 0.1793008 0.4687564 0.5711021 0.1582612 0.4934347 0.3256236 0.004824326 0.5035225 0.3465535 0.1142362 0.1221352 0.11382 0.1093476 0.1582612 0.1076757
35 850 0.4094328 0.8710084 0.3249376 0.6183252 0.1637205 0.6906666 0.4341409 0.7091291 0.3772783 0.6658761 1.106723 1.96164 1.59244 1.116199 1.708177 1.171133 1.224174 1.405017 1.339442 1.469173 0.3914216 0.5585165 0.8475788 0.4707638 0.568979 0.4405187 0.4323394 0.5028926 0.4751088 0.5438722 0.7900272 1.587329 1.33326 0.6067569 0.8058459 0.5773919 0.8043434 1.064741 0.3865028 0.9420397 0.406846 0.7492583 0.8372456 0.5762567 0.2791096 0.6479299 0.4360869 0.6348196 0.3865028 0.5537813
45 850 0.8713861 1.240888 0.8599947 0.8640876 0.6647825 1.103371 0.7507908 1.083583 0.6918417 1.082375 1.568566 2.00262 2.228472 1.470432 2.323734 1.805355 1.579197 1.874283 1.702274 2.031399 0.7265827 0.6810177 1.146234 0.7463805 0.9900227 0.8916492 0.7440183 1.005856 0.9175662 0.9389115 1.187839 1.945093 1.966135 0.8727909 1.362896 0.8927229 1.128569 1.530156 0.768801 1.343056 0.8277972 0.9806268 1.1489 0.8299429 0.7681728 1.136863 0.7207832 1.063519 0.768801 0.9348179
55 850 2.018477 2.108501 1.945007 2.148017 1.505892 1.654347 1.322539 1.545593 1.567011 2.292186 2.799143 2.097223 3.337812 2.801339 3.755579 2.326819 2.168167 2.468874 3.27707 3.136172 1.870592 1.308045 2.186764 2.007231 1.693852 1.359337 1.217169 1.475604 2.402223 2.116425 2.359569 2.364533 3.151439 2.00988 2.543536 1.403814 1.716363 2.04272 1.764779 2.540845 1.948331 1.79078 2.157455 1.932118 1.554156 1.77526 1.244331 1.465564 1.764779 2.121025
65 850 0.9633002 1.046644 0.8145811 0.527006 0.1789183 0.6545975 0.5924223 0.8403064 0.1464848 0.8926381 1.375333 1.848456 2.176117 1.24778 2.353467 1.703236 1.440286 1.77776 1.510248 2.064761 0.7579194 0.6325613 1.323182 0.4137173 0.510763 1.022758 0.511265 0.8966913 0.6930744 1.066598 1.185699 1.615084 2.126574 0.455832 0.9042152 0.2030995 1.06093 1.216467 0.1832431 1.17283 1.050279 0.9310125 1.2994 0.2657298 0.5597796 0.7472857 0.6173896 0.8225855 0.1832431 0.873431
75 850 0.4026671 0.2349477 -0.2371059 0.0002954054 -0.3861665 -0.4426583 -0.2484931 -0.008418028 -0.2511894 0.1611786 0.8953834 1.701267 1.440197 1.101013 1.696161 1.379478 0.8931513 1.190688 1.123181 1.332433 0.1558282 -0.005716277 0.5119049 -0.1253683 -0.001582457 0.03860108 -0.2451106 0.1189003 0.04070325 0.270708 0.5426247 0.9351082 1.189424 0.1453579 0.06869603 -0.3956087 0.1650994 0.4856262 -0.1132307 0.4400439 0.3828244 0.1726289 0.3321231 -0.1191621 -0.1719487 0.3788466 -0.2445831 0.05419571 -0.1132307 0.1132876
-65 950 -4.051026 -3.923562 -4.02479 -3.850129 -4.060849 -3.976385 -3.89054 -4.154428 -3.934849 -4.043967 -3.765009 -3.790108 -3.610761 -3.775243 -4.163182 -3.603052 -3.449417 -3.954801 -3.873359 -3.846325 -4.288922 -4.429843 -3.819751 -4.12719 -4.471412 -5.047197 -3.679456 -3.631506 -4.157621 -4.34475 -4.064763 -3.86323 -3.469294 -3.957718 -4.148167 -3.804704 -3.776146 -4.797686 -3.926082 -4.034008 -4.084996 -4.053382 -4.096108 -3.968549 -4.127644 -3.813422 -3.87402 -4.146445 -3.926082 -4.065712
-55 950 -3.850858 -3.661862 -3.824373 -3.698328 -3.778786 -3.825609 -3.765133 -3.921868 -3.841891 -3.846392 -3.618728 -3.115619 -3.410574 -3.610248 -3.684033 -3.268034 -3.300869 -3.387174 -3.782023 -3.691285 -4.091685 -4.481161 -3.637005 -3.989574 -4.176794 -4.33795 -3.601208 -3.701482 -4.082458 -4.245063 -3.902096 -3.154148 -3.255562 -3.792686 -3.826561 -3.719336 -3.523114 -3.95036 -3.797063 -3.882247 -3.940535 -3.749456 -3.897998 -3.817687 -3.759898 -3.579723 -3.752313 -3.913776 -3.797063 -3.922263
-45 950 -3.54456 -3.531232 -3.384929 -3.498579 -3.50911 -3.942667 -3.757045 -3.570173 -3.555801 -3.681935 -3.493102 -3.479699 -2.886047 -3.386582 -3.612502 -3.185162 -3.125947 -2.634522 -3.471668 -3.568831 -3.890194 -4.079735 -3.017466 -3.780114 -4.120559 -3.768089 -3.560013 -3.283477 -3.822668 -4.320807 -3.54535 -3.205111 -2.679248 -3.589422 -3.428455 -3.545735 -3.225153 -3.237647 -3.528808 -3.834844 -3.601883 -3.446236 -3.327347 -3.604554 -3.755212 -3.264875 -3.719737 -3.462269 -3.528808 -3.865082
-35 950 -3.640445 -3.294471 -3.549701 -3.35463 -3.3108 -3.64942 -3.411468 -3.583086 -3.306884 -3.460643 -3.011664 -2.278884 -2.578034 -3.173343 -3.243201 -3.037838 -2.789195 -2.669806 -3.116956 -3.180051 -3.626973 -3.990086 -3.318362 -3.625312 -4.116275 -3.310792 -3.397154 -3.427893 -3.915469 -4.07306 -3.573584 -2.448349 -2.589465 -3.430457 -3.449716 -3.131718 -2.964528 -2.979038 -3.193068 -3.460522 -3.80942 -3.442066 -3.553853 -3.439455 -3.802965 -3.292888 -3.49608 -3.533413 -3.193068 -3.540882
-25 950 -3.075184 -3.124057 -3.163269 -2.699878 -3.114822 -2.841804 -2.943 -2.972492 -2.898601 -3.059032 -2.928904 -3.225861 -2.731338 -2.546965 -3.167741 -2.766072 -2.587231 -2.639063 -2.774477 -2.987843 -2.935264 -3.431782 -3.03535 -2.802145 -3.631145 -2.827371 -2.811614 -2.932212 -3.006974 -3.256171 -2.931769 -3.221517 -2.668119 -2.708345 -2.898041 -2.640648 -2.608701 -2.700933 -2.798131 -3.080946 -3.011537 -3.258183 -3.103504 -2.698842 -3.392578 -2.784174 -2.907213 -2.981159 -2.798131 -3.092804
-15 950 -2.56517 -2.667047 -2.581627 -2.281137 -2.755359 -2.342702 -2.517461 -2.4647 -2.404823 -2.495357 -2.489999 -2.944533 -2.357913 -2.234918 -2.796262 -2.332082 -2.343457 -2.488251 -2.395008 -2.342024 -2.493049 -2.919991 -2.665297 -2.408036 -2.762592 -2.500569 -2.447242 -2.523827 -2.543369 -2.648182 -2.523487 -2.926483 -2.374116 -2.344134 -2.650455 -2.368726 -2.412999 -2.493182 -2.424509 -2.46955 -2.526306 -2.820524 -2.653975 -2.268536 -2.593102 -2.32399 -2.50843 -2.471021 -2.424509 -2.581359
-5 950 -1.721945 -1.775696 -1.835945 -1.488283 -1.791165 -1.593359 -1.67288 -1.492934 -1.287546 -1.468464 -1.835388 -2.397428 -1.61355 -1.454823 -1.767025 -1.57466 -1.712243 -1.748774 -1.62433 -1.555154 -1.61808 -1.69623 -1.698808 -1.404204 -1.688868 -1.843921 -1.479011 -1.391323 -1.52853 -1.7007 -1.649164 -2.172298 -1.602176 -1.430344 -1.463134 -1.807056 -1.731334 -1.707417 -1.449433 -1.565164 -1.468101 -1.716976 -1.713749 -1.315868 -1.563869 -1.599909 -1.489466 -1.260956 -1.449433 -1.691345
5 950 -0.5497304 -0.6282179 -0.6346883 -0.2036823 -0.7925323 -0.7250197 -0.7081335 -0.6086568 -0.1876904 -0.003865881 -0.3644466 -0.8226522 -0.3800053 -0.139688 0.2401 -0.7208031 -0.6014161 -0.5460554 -0.1861594 -0.1184601 -0.6926317 -0.7192177 -0.7536864 -0.3020543 -0.5092192 -1.170946 -0.7504836 -0.8443789 -0.274741 -0.4664761 -0.4531389 -0.7308003 -0.5479773 -0.2345331 -0.9053447 -0.7743967 -0.7745099 -0.7905058 -0.2690987 -0.2658554 -0.5571923 -0.7149404 -0.6524237 -0.1092474 -0.4401745 -0.832129 -0.70065 -0.7359433 -0.2690987 -0.4556662
15 950 0.1456366 0.3120302 0.299964 0.257016 -0.06875272 0.1564863 0.02148088 0.118665 0.08596942 0.3617223 0.881528 0.7099736 1.219906 0.6918524 1.724863 0.6910987 0.5009267 0.7632125 0.7847636 1.076215 0.2640891 0.2810284 0.6235101 0.1176858 0.4290246 -0.03247357 -0.05458986 0.1105958 0.2524689 0.247674 0.4918111 0.5945717 1.011844 0.3062199 0.5206116 0.3457019 0.2322478 0.4136647 0.155911 0.624343 0.2421305 0.306615 0.5980117 0.260929 0.2641818 0.05661802 -0.03112794 0.06228381 0.155911 0.2684683
25 950 0.537587 0.4444449 0.4800348 0.6887205 0.2287824 0.1406771 0.1473488 0.2473802 0.3305779 0.4882489 1.571874 1.285328 1.8705 1.308115 2.328938 0.8726461 0.8793473 1.220374 1.465161 1.50813 0.6103171 0.3874429 1.060553 0.5558425 0.8355716 0.186475 0.1108846 0.2208526 0.6561479 0.5840191 1.016642 1.045577 1.592588 0.7489341 1.131037 0.1850513 0.511467 0.7324671 0.4610104 0.8913358 0.5782171 0.4212245 0.9624091 0.6437027 0.5182166 0.1345089 0.1139845 0.195529 0.4610104 0.4757571
35 950 0.4959432 0.9238097 0.2255672 0.6790974 0.3396586 0.8246376 0.3544321 0.7919051 0.2025871 0.6724549 1.213905 2.037666 1.552103 1.162917 2.181989 1.529248 1.234317 1.43712 1.540447 1.688207 0.4385623 0.8010099 0.9576385 0.4831481 0.7768739 0.6084773 0.3757844 0.4898772 0.5690139 0.6465203 0.8912807 1.805603 1.375467 0.626717 1.151747 0.6176715 0.7066958 1.128985 0.2642135 1.067427 0.5135256 0.9296613 0.8950017 0.5937729 0.4821042 0.8310598 0.3918355 0.7384243 0.2642135 0.6209247
45 950 1.392339 1.08982 1.020698 1.037211 1.062901 1.070235 0.9111487 1.339177 0.8771009 1.314492 2.107826 1.640535 2.583396 1.697584 3.11858 2.412593 1.870254 2.137685 2.077555 2.330005 1.121484 0.428254 1.432887 0.8935437 1.274249 0.5765267 0.8259469 1.087132 1.229108 1.209337 1.894289 1.735168 2.391459 1.031473 2.139023 0.6288654 1.351714 1.888931 1.041883 1.605612 1.359186 0.7914015 1.377168 0.9651133 1.139469 1.084993 0.892685 1.306758 1.041883 1.198534
55 950 2.542118 2.829041 2.067347 2.371881 1.752531 1.763153 1.3864 1.757352 1.891467 2.444199 3.448525 1.743357 3.547199 2.988148 4.744478 2.75872 2.355797 2.744894 3.82341 3.575663 2.287018 1.297659 2.360596 2.143588 2.018185 1.496304 1.207837 1.633561 2.939747 2.532055 2.992601 2.462754 3.447568 2.217275 3.357588 1.469493 1.833081 2.348043 2.130052 2.765556 2.487568 2.458335 2.325854 2.129483 1.697937 1.828902 1.29458 1.640429 2.130052 2.344561
65 950 3.29511 3.379949 3.017765 2.760036 2.143735 2.717661 2.531039 2.809783 2.618748 2.579043 3.778795 3.440001 4.107334 3.161636 5.1782 3.662077 3.570852 3.657476 4.561101 3.704889 3.054543 2.464875 3.228487 2.20502 1.85893 2.990449 2.313198 2.474002 3.502037 2.53054 3.348853 3.126297 3.96152 2.413066 2.726565 2.407186 2.740552 2.947118 2.744139 2.638426 3.322137 3.129383 3.257339 2.340063 2.051292 2.571103 2.430766 2.654938 2.744139 2.463643
75 950 0.5549535 0.1060244 -0.1056473 0.2264399 -0.1636197 -0.1661637 0.08919985 0.3162618 0.1687926 0.4371901 1.445289 2.109635 1.659399 1.530052 2.021255 2.300634 1.465521 1.616807 1.683369 1.770486 0.8217795 0.1775008 0.7409689 0.2531656 0.02249157 0.686491 0.33325 0.5368718 0.581229 0.6886216 0.7203162 0.6565163 1.522856 0.3697549 -0.01435016 -0.0494481 0.4303619 0.6672522 0.3828255 0.7421324 0.5799487 0.04221055 0.47444 0.1376297 -0.04289677 0.6449333 0.1208063 0.3239961 0.3828255 0.4245527
