latitude pressure AMES_IS BAKER_IS CAMS_IS CMS-FLUX_IS COLA_IS CT_IS OU_IS TM5-4DVAR_IS UT_IS WOMBAT_IS AMES_OG BAKER_OG CAMS_OG CMS-FLUX_OG COLA_OG CT_OG OU_OG TM5-4DVAR_OG UT_OG WOMBAT_OG AMES_LNLG BAKER_LNLG CAMS_LNLG CMS-FLUX_LNLG COLA_LNLG CT_LNLG OU_LNLG TM5-4DVAR_LNLG UT_LNLG WOMBAT_LNLG AMES_LNLGOGIS BAKER_LNLGOGIS CAMS_LNLGOGIS CMS-FLUX_LNLGOGIS COLA_LNLGOGIS CT_LNLGOGIS OU_LNLGOGIS TM5-4DVAR_LNLGOGIS UT_LNLGOGIS WOMBAT_LNLGOGIS AMES_LNLGIS BAKER_LNLGIS CAMS_LNLGIS CMS-FLUX_LNLGIS COLA_LNLGIS CT_LNLGIS OU_LNLGIS TM5-4DVAR_LNLGIS UT_LNLGIS WOMBAT_LNLGIS
-15 450 -1.941213 -1.660309 -2.29224 -1.998827 -2.085448 -1.79669 -1.956152 -2.02856 -1.707401 -1.939684 -2.055951 -1.963255 -2.002692 -1.955555 -2.330518 -2.016218 -1.992521 -2.037678 -2.003909 -1.78284 -2.005732 -1.918242 -2.271907 -2.027443 -2.394599 -2.207674 -2.068377 -2.207009 -2.083972 -2.121929 -2.020909 -1.966629 -2.028796 -2.008831 -2.455566 -1.953697 -1.999025 -1.990281 -2.000557 -1.819769 -1.973598 -1.957314 -2.164349 -1.897695 -2.342549 -1.940186 -2.032354 -2.160255 -2.000557 -2.102873
-5 450 -1.616423 -1.204528 -1.930475 -1.572582 -1.399465 -1.438278 -1.495117 -1.585276 -0.4272318 -1.106677 -1.657101 -1.191466 -1.515399 -1.480286 -1.633679 -1.587911 -1.50764 -1.524367 -1.435412 -1.198722 -1.246071 -1.029384 -1.727576 -1.313166 -1.261525 -1.777899 -1.17522 -1.255392 -1.359163 -1.2525 -1.384113 -1.234864 -1.446732 -1.340013 -1.262542 -1.764645 -1.398023 -1.391732 -1.142016 -1.161601 -1.080281 -1.065538 -1.582168 -1.237126 -1.204886 -1.615625 -1.194798 -1.205032 -1.142016 -1.316954
5 450 -1.37956 -1.532428 -1.361681 -1.169964 -1.659984 -1.236225 -1.273341 -1.405476 -0.8305404 -0.8324518 -1.152001 -1.266795 -1.027754 -1.109019 -1.295722 -1.224264 -1.119988 -1.178568 -1.227873 -1.077394 -1.321311 -1.441262 -1.340026 -1.283508 -1.423395 -1.561912 -1.116761 -1.255269 -1.3277 -1.362996 -1.163633 -1.386175 -1.070078 -1.080361 -1.649766 -1.293719 -1.138615 -1.205393 -1.148058 -1.121415 -1.204832 -1.491942 -1.252536 -1.011387 -1.520461 -1.306029 -1.136838 -1.306988 -1.148058 -1.354812
15 450 -1.059765 -1.204944 -1.127507 -0.8348921 -1.499072 -0.9407643 -0.9682226 -1.145736 -0.7176151 -0.732217 -0.6704998 -0.961527 -0.6604481 -0.7420027 -1.113859 -0.8747556 -0.7130671 -0.8215186 -0.8836094 -0.7548976 -0.9434381 -1.202085 -0.933828 -1.031436 -1.212161 -1.175585 -0.870432 -1.008307 -1.002345 -1.178392 -0.774962 -1.042168 -0.727048 -0.7520108 -1.437109 -0.9232665 -0.7828085 -0.9423681 -0.8760947 -0.8685547 -0.9599483 -1.23711 -0.8820149 -0.734518 -1.282312 -1.041269 -0.8974338 -1.125227 -0.8760947 -1.159522
25 450 -0.5705547 -0.8120964 -0.6964112 -0.4052431 -1.011585 -0.2451696 -0.3237202 -0.3699297 -0.3312217 -0.3779889 -0.2552799 -0.5243651 -0.06678867 -0.3170756 -0.9005051 -0.059124 -0.05181502 -0.04726393 -0.3678453 -0.3018498 -0.3434924 -0.7465549 -0.3949839 -0.5252099 -0.7666881 -0.3264489 -0.2618088 -0.30942 -0.5063121 -0.6615955 -0.2905788 -0.544854 -0.1470008 -0.3034834 -0.8788886 -0.1857763 -0.1329913 -0.1605836 -0.3631767 -0.356404 -0.4186299 -0.7816883 -0.3611619 -0.3298715 -0.6745617 -0.2886637 -0.3255519 -0.4383034 -0.3631767 -0.6138907
35 450 -0.183811 -0.09246987 -0.1872907 0.05450076 -0.6311805 0.3741833 0.1895675 0.1694393 0.05546698 0.03883556 0.1965703 0.4658222 0.5694457 0.2335114 -0.5056167 0.6428553 0.6544261 0.6345325 0.2675048 0.2886194 -0.001811186 -0.1129656 0.1339115 -0.1088496 -0.4834237 0.2131929 0.2518055 0.1928669 -0.1273514 -0.2544195 0.09310537 0.2665597 0.437154 0.1134717 -0.4419209 0.3379159 0.4691898 0.4864591 0.04291241 0.1350578 -0.08009447 -0.1162203 0.1732225 0.07274405 -0.3470862 0.3325747 0.1649103 0.1359022 0.04291241 -0.1593091
45 450 0.2678969 0.2525383 -0.06800325 0.602907 -0.2002756 0.5064513 0.3475931 0.3171542 0.4572444 0.28286 0.7459999 0.8317885 0.8235144 0.7433374 0.2563789 0.8766751 0.7628914 0.7573441 0.8314853 0.614167 0.3609591 0.146385 0.293444 0.3114346 -0.1430203 0.2838114 0.3060448 0.2887839 0.2458739 -0.04066729 0.548243 0.6081913 0.6557227 0.5713692 0.0383168 0.4799665 0.631122 0.6360907 0.475281 0.4078093 0.3154781 0.1773285 0.3071533 0.5313005 -0.07120841 0.4940346 0.2961504 0.3045393 0.475281 0.05479398
55 450 0.281944 0.2366729 0.08485908 0.597804 -0.2759227 0.5710791 0.3856727 0.3588554 0.3778869 0.4096877 0.9376886 1.01996 1.207475 0.9044587 0.5316935 1.082883 0.972829 1.039761 1.108137 0.9777723 0.3598092 0.1259682 0.399348 0.3725416 -0.01660087 0.3463492 0.3720027 0.3106813 0.3556632 0.1535058 0.5808014 0.7116331 0.9765118 0.5607231 0.1370062 0.4589947 0.7378515 0.7529179 0.4381023 0.6266156 0.2679983 0.1820293 0.3994522 0.4967231 -0.09917878 0.5732658 0.3228281 0.3013448 0.4381023 0.2199901
65 450 0.03449363 0.2238188 -0.06057015 0.4120478 -0.4543626 0.1742901 0.04134559 0.09134557 -0.006288026 0.2899101 0.67243 0.9100083 1.488255 0.6961624 0.2263574 0.8539408 0.9423239 1.063247 1.081608 0.8515864 0.02893112 0.07250231 0.5306226 0.04389084 -0.3374091 0.1700865 0.09903806 0.1156675 0.2537689 0.02872369 0.3456205 0.6695349 1.19818 0.2239309 -0.0484773 0.05798913 0.5225165 0.6080753 0.1186759 0.4655181 0.04355603 0.1608259 0.5528078 0.1875713 -0.2697142 0.3767167 0.06542187 0.1371539 0.1186759 0.09801002
75 450 -0.230463 -0.422188 -0.5474307 -0.1827414 -0.9683787 -0.4578126 -0.5523186 -0.5470645 -0.4784559 -0.2515158 0.3818966 0.4031028 1.056812 0.2699774 -0.2371717 0.6205816 0.448017 0.5367044 0.4057969 0.4964077 -0.3981834 -0.5131596 0.08581195 -0.525233 -0.7195862 -0.227139 -0.5006417 -0.4249398 -0.3913125 -0.4393443 0.01347278 0.119103 0.701642 -0.2350289 -0.4414084 -0.3119851 -0.04082551 0.06479717 -0.4587436 -0.006137477 -0.2694386 -0.4463356 0.09218244 -0.3432615 -0.7132997 0.03419057 -0.531948 -0.4215899 -0.4587436 -0.3814061
