date co2 co2fill trend iav seasonal remainder total
JAN1989 352.71 352.71 351.821 0.603 0.144 0.142 352.568
FEB1989 353.11 353.11 351.962 0.582 0.791 -0.225 353.335
MAR1989 353.91 353.91 352.102 0.562 1.552 -0.306 354.216
APR1989 355.48 355.48 352.242 0.542 2.654 0.043 355.437
MAY1989 356.1 356.1 352.382 0.522 3.096 0.1 356
JUN1989 355.37 355.37 352.522 0.502 2.254 0.091 355.279
JUL1989 353.95 353.95 352.647 0.483 0.571 0.249 353.701
AUG1989 351.4 351.4 352.772 0.466 -1.87 0.032 351.368
SEP1989 349.56 349.56 352.897 0.449 -3.519 -0.268 349.828
OCT1989 349.94 349.94 353.023 0.432 -3.296 -0.218 350.158
NOV1989 351.57 351.57 353.148 0.417 -1.98 -0.015 351.585
DEC1989 352.91 352.91 353.273 0.402 -0.664 -0.101 353.011
JAN1990 354.08 354.08 353.398 0.386 0.208 0.088 353.992
FEB1990 355.18 355.18 353.523 0.383 0.925 0.349 354.831
MAR1990 355.97 355.97 353.648 0.38 1.79 0.152 355.818
APR1990 356.78 356.78 353.774 0.376 2.792 -0.162 356.942
MAY1990 357.25 357.25 353.899 0.385 3.244 -0.278 357.528
JUN1990 356.4 356.4 354.024 0.395 2.249 -0.267 356.667
JUL1990 354.6 354.6 354.149 0.404 0.265 -0.218 354.818
AUG1990 352.51 352.51 354.26 0.417 -2.053 -0.114 352.624
SEP1990 351.28 351.28 354.372 0.43 -3.616 0.094 351.186
OCT1990 351.6 351.6 354.483 0.442 -3.452 0.127 351.473
NOV1990 353.18 353.18 354.595 0.452 -1.998 0.131 353.049
DEC1990 354.74 354.74 354.706 0.462 -0.641 0.213 354.527
JAN1991 355.32 355.32 354.817 0.471 0.178 -0.146 355.466
FEB1991 356.19 356.19 354.929 0.472 0.946 -0.156 356.346
MAR1991 357.64 357.64 355.04 0.472 1.927 0.2 357.44
APR1991 358.77 358.77 355.152 0.473 2.84 0.305 358.465
MAY1991 359.44 359.44 355.263 0.46 3.386 0.332 359.108
JUN1991 358.38 358.38 355.374 0.447 2.463 0.096 358.284
JUL1991 355.96 355.96 355.486 0.433 0.155 -0.114 356.074
AUG1991 353.92 353.92 355.597 0.409 -2.014 -0.073 353.993
SEP1991 352.52 352.52 355.704 0.385 -3.426 -0.144 352.664
OCT1991 352.62 352.62 355.812 0.361 -3.411 -0.142 352.762
NOV1991 354.09 354.09 355.919 0.33 -2.106 -0.054 354.144
DEC1991 355.54 355.54 356.027 0.299 -0.729 -0.057 355.597
JAN1992 356.74 356.74 356.134 0.268 0.111 0.226 356.514
FEB1992 357.39 357.39 356.242 0.23 0.732 0.186 357.204
MAR1992 358.23 358.23 356.349 0.192 1.675 0.014 358.216
APR1992 359.28 359.28 356.456 0.154 2.748 -0.078 359.358
MAY1992 360.05 360.05 356.564 0.099 3.463 -0.075 360.125
JUN1992 359.59 359.59 356.671 0.044 2.668 0.207 359.383
JUL1992 357.27 357.27 356.779 -0.012 0.358 0.146 357.124
AUG1992 355.12 355.12 356.886 -0.081 -1.841 0.156 354.964
SEP1992 353.79 353.79 356.993 -0.149 -3.362 0.308 353.482
OCT1992 353.66 353.66 357.104 -0.218 -3.351 0.125 353.535
NOV1992 354.72 354.72 357.215 -0.286 -2.2 -0.01 354.73
DEC1992 356.08 356.08 357.327 -0.353 -0.845 -0.049 356.129
JAN1993 356.92 356.92 357.438 -0.42 0.185 -0.282 357.202
FEB1993 357.51 357.51 357.549 -0.482 0.713 -0.269 357.779
MAR1993 358.36 358.36 357.66 -0.544 1.478 -0.234 358.594
APR1993 359.67 359.67 357.771 -0.606 2.647 -0.141 359.811
MAY1993 360.59 360.59 357.882 -0.647 3.372 -0.016 360.606
JUN1993 359.8 359.8 357.993 -0.687 2.559 -0.065 359.865
JUL1993 357.85 357.85 358.104 -0.728 0.427 0.047 357.803
AUG1993 355.65 355.65 358.215 -0.74 -1.797 -0.028 355.678
SEP1993 353.95 353.95 358.326 -0.752 -3.467 -0.157 354.107
OCT1993 354.31 354.31 358.437 -0.764 -3.384 0.021 354.289
NOV1993 355.52 355.52 358.556 -0.764 -2.122 -0.15 355.67
DEC1993 357.02 357.02 358.675 -0.763 -0.618 -0.274 357.294
JAN1994 358.41 358.41 358.794 -0.763 0.295 0.084 358.326
FEB1994 358.99 358.99 358.913 -0.747 0.697 0.127 358.863
MAR1994 359.82 359.82 359.032 -0.731 1.518 0.001 359.819
APR1994 361.17 361.17 359.152 -0.716 2.659 0.075 361.095
MAY1994 361.86 361.86 359.271 -0.682 3.279 -0.007 361.867
JUN1994 360.97 360.97 359.39 -0.649 2.431 -0.202 361.172
JUL1994 359.06 359.06 359.509 -0.616 0.366 -0.2 359.26
AUG1994 357.07 357.07 359.628 -0.575 -1.89 -0.093 357.163
SEP1994 355.45 355.45 359.747 -0.534 -3.539 -0.224 355.674
OCT1994 355.68 355.68 359.866 -0.493 -3.475 -0.217 355.897
NOV1994 357.61 357.61 359.985 -0.444 -2.073 0.142 357.468
DEC1994 359.67 359.67 360.121 -0.395 -0.475 0.419 359.251
JAN1995 360.35 360.35 360.256 -0.346 0.357 0.083 360.267
FEB1995 360.74 360.74 360.391 -0.29 0.845 -0.206 360.946
MAR1995 361.96 361.96 360.526 -0.234 1.718 -0.05 362.01
APR1995 363.07 363.07 360.662 -0.179 2.595 -0.008 363.078
MAY1995 363.77 363.77 360.797 -0.132 3.097 0.008 363.762
JUN1995 363.42 363.42 360.932 -0.085 2.475 0.098 363.322
JUL1995 361.5 361.5 361.067 -0.038 0.493 -0.022 361.522
AUG1995 359.31 359.31 361.203 -0.008 -1.841 -0.043 359.353
SEP1995 358.19 358.19 361.338 0.023 -3.452 0.282 357.908
OCT1995 358.23 358.23 361.473 0.053 -3.489 0.193 358.037
NOV1995 359.58 359.58 361.608 0.07 -2.055 -0.043 359.623
DEC1995 361.15 361.15 361.743 0.086 -0.619 -0.061 361.211
JAN1996 362.23 362.23 361.892 0.103 0.192 0.043 362.187
FEB1996 363.34 363.34 362.041 0.09 0.876 0.333 363.007
MAR1996 364.31 364.31 362.19 0.078 1.793 0.25 364.06
APR1996 364.93 364.93 362.338 0.065 2.709 -0.183 365.113
MAY1996 365.49 365.49 362.487 0.026 3.043 -0.067 365.557
JUN1996 365.27 365.27 362.636 -0.013 2.375 0.272 364.998
JUL1996 363.66 363.66 362.785 -0.052 0.596 0.331 363.329
AUG1996 361.27 361.27 362.934 -0.106 -1.745 0.188 361.082
SEP1996 359.44 359.44 363.082 -0.16 -3.464 -0.018 359.458
OCT1996 359.52 359.52 363.231 -0.215 -3.497 0 359.52
NOV1996 361.06 361.06 363.38 -0.278 -2.081 0.039 361.021
DEC1996 362.16 362.16 363.529 -0.342 -0.843 -0.184 362.344
JAN1997 363.21 363.21 363.677 -0.406 0.081 -0.142 363.352
FEB1997 364.04 364.04 363.829 -0.453 0.819 -0.155 364.195
MAR1997 365.06 365.06 363.98 -0.5 1.68 -0.1 365.16
APR1997 366.71 366.71 364.132 -0.547 2.843 0.282 366.428
MAY1997 366.82 366.82 364.283 -0.553 3.099 -0.01 366.83
JUN1997 365.64 365.64 364.435 -0.558 2.246 -0.483 366.123
JUL1997 364.23 364.23 364.587 -0.564 0.658 -0.451 364.681
AUG1997 362.3 362.3 364.738 -0.518 -1.595 -0.325 362.625
SEP1997 360.64 360.64 364.89 -0.473 -3.458 -0.318 360.958
OCT1997 360.86 360.86 365.041 -0.428 -3.514 -0.24 361.1
NOV1997 362.67 362.67 365.193 -0.337 -2.053 -0.133 362.803
DEC1997 364.3 364.3 365.344 -0.245 -0.668 -0.131 364.431
JAN1998 365.41 365.41 365.496 -0.154 0.175 -0.107 365.517
FEB1998 366.2 366.2 365.647 -0.04 0.645 -0.053 366.253
MAR1998 367.27 367.27 365.797 0.075 1.54 -0.142 367.412
APR1998 368.81 368.81 365.946 0.19 2.817 -0.143 368.953
MAY1998 369.56 369.56 366.095 0.289 2.992 0.184 369.376
JUN1998 369.14 369.14 366.244 0.388 2.159 0.349 368.791
JUL1998 367.89 367.89 366.394 0.487 0.675 0.334 367.556
AUG1998 365.89 365.89 366.543 0.546 -1.536 0.337 365.553
SEP1998 364.29 364.29 366.692 0.605 -3.396 0.389 363.901
OCT1998 364.29 364.29 366.841 0.664 -3.417 0.201 364.089
NOV1998 365.76 365.76 366.991 0.673 -2.04 0.136 365.624
DEC1998 367.68 367.68 367.14 0.682 -0.478 0.336 367.344
JAN1999 368.53 368.53 367.289 0.691 0.398 0.152 368.378
FEB1999 368.79 368.79 367.438 0.654 0.723 -0.026 368.816
MAR1999 369.92 369.92 367.588 0.618 1.562 0.153 369.767
APR1999 371.06 371.06 367.741 0.581 2.603 0.135 370.925
MAY1999 371.07 371.07 367.894 0.524 2.7 -0.048 371.118
JUN1999 370.59 370.59 368.048 0.467 2.073 0.003 370.587
JUL1999 369.31 369.31 368.201 0.41 0.64 0.059 369.251
AUG1999 367.11 367.11 368.355 0.345 -1.574 -0.015 367.125
SEP1999 365.27 365.27 368.508 0.28 -3.305 -0.213 365.483
OCT1999 365.58 365.58 368.661 0.214 -3.236 -0.06 365.64
NOV1999 366.97 366.97 368.815 0.158 -1.988 -0.015 366.985
DEC1999 368.51 368.51 368.968 0.101 -0.547 -0.012 368.522
JAN2000 369.77 369.77 369.121 0.044 0.436 0.169 369.601
FEB2000 370.28 370.28 369.275 0.002 0.93 0.073 370.207
MAR2000 371 371 369.428 -0.04 1.74 -0.129 371.129
APR2000 371.95 371.95 369.582 -0.082 2.606 -0.155 372.105
MAY2000 372.05 372.05 369.74 -0.111 2.682 -0.26 372.31
JUN2000 371.52 371.52 369.898 -0.141 1.97 -0.207 371.727
JUL2000 370.2 370.2 370.056 -0.17 0.345 -0.03 370.23
AUG2000 368.23 368.23 370.214 -0.19 -1.798 0.005 368.225
SEP2000 367.01 367.01 370.372 -0.21 -3.314 0.163 366.847
OCT2000 367.26 367.26 370.53 -0.23 -3.161 0.121 367.139
NOV2000 368.51 368.51 370.688 -0.249 -1.87 -0.058 368.568
DEC2000 369.75 369.75 370.846 -0.268 -0.648 -0.18 369.93
JAN2001 370.88 370.88 371.004 -0.287 0.287 -0.124 371.004
FEB2001 371.98 371.98 371.162 -0.311 0.991 0.138 371.842
MAR2001 373 373 371.32 -0.335 1.777 0.238 372.762
APR2001 373.86 373.86 371.478 -0.359 2.534 0.207 373.653
MAY2001 374.36 374.36 371.636 -0.392 2.839 0.277 374.083
JUN2001 373.54 373.54 371.795 -0.426 2.204 -0.033 373.573
JUL2001 371.51 371.51 371.955 -0.46 0.328 -0.313 371.823
AUG2001 369.57 369.57 372.115 -0.495 -1.988 -0.062 369.632
SEP2001 368.34 368.34 372.274 -0.53 -3.442 0.037 368.303
OCT2001 368.6 368.6 372.434 -0.565 -3.209 -0.06 368.66
NOV2001 370.28 370.28 372.593 -0.589 -1.745 0.02 370.26
DEC2001 371.59 371.59 372.753 -0.612 -0.643 0.092 371.498
JAN2002 372.34 372.34 372.912 -0.636 0.111 -0.047 372.387
FEB2002 373.11 373.11 373.072 -0.633 0.903 -0.232 373.342
MAR2002 374.08 374.08 373.232 -0.629 1.732 -0.254 374.334
APR2002 374.96 374.96 373.391 -0.625 2.538 -0.345 375.305
MAY2002 375.68 375.68 373.551 -0.593 3.037 -0.315 375.995
JUN2002 375.72 375.72 373.71 -0.561 2.461 0.109 375.611
JUL2002 374.03 374.03 373.876 -0.529 0.476 0.207 373.823
AUG2002 371.36 371.36 374.041 -0.469 -1.977 -0.235 371.595
SEP2002 369.89 369.89 374.206 -0.408 -3.593 -0.314 370.204
OCT2002 370.62 370.62 374.371 -0.348 -3.341 -0.062 370.682
NOV2002 372.57 372.57 374.536 -0.268 -1.722 0.024 372.546
DEC2002 373.82 373.82 374.702 -0.187 -0.661 -0.034 373.854
JAN2003 374.8 374.8 374.867 -0.107 0.019 0.021 374.779
FEB2003 375.94 375.94 375.032 -0.037 0.821 0.123 375.817
MAR2003 376.99 376.99 375.197 0.034 1.833 -0.075 377.065
APR2003 378.26 378.26 375.363 0.104 2.811 -0.018 378.278
MAY2003 379.06 379.06 375.528 0.149 3.182 0.201 378.859
JUN2003 378.44 378.44 375.693 0.195 2.407 0.145 378.295
JUL2003 376.7 376.7 375.858 0.24 0.345 0.257 376.443
AUG2003 374.71 374.71 376.03 0.251 -1.976 0.404 374.306
SEP2003 373.14 373.14 376.203 0.262 -3.637 0.312 372.828
OCT2003 373.32 373.32 376.375 0.274 -3.451 0.122 373.198
NOV2003 375.03 375.03 376.547 0.245 -1.863 0.101 374.929
DEC2003 376.21 376.21 376.719 0.216 -0.799 0.074 376.136
JAN2004 377.02 377.02 376.892 0.187 -0.082 0.024 376.996
FEB2004 377.99 377.99 377.064 0.139 0.94 -0.154 378.144
MAR2004 379.63 379.63 377.236 0.092 2.203 0.099 379.531
APR2004 380.91 380.91 377.409 0.044 3.045 0.413 380.497
MAY2004 380.94 380.94 377.581 0.011 3.21 0.139 380.801
JUN2004 379.77 379.77 377.753 -0.022 2.284 -0.245 380.015
JUL2004 377.51 377.51 377.925 -0.055 0.226 -0.586 378.096
AUG2004 375.71 375.71 378.098 -0.065 -1.902 -0.421 376.131
SEP2004 374.39 374.39 378.27 -0.075 -3.613 -0.193 374.583
OCT2004 374.71 374.71 378.442 -0.084 -3.522 -0.126 374.836
NOV2004 376.41 376.41 378.615 -0.066 -2.016 -0.122 376.532
DEC2004 377.77 377.77 378.787 -0.047 -0.851 -0.118 377.888
JAN2005 378.74 378.74 378.959 -0.029 -0.05 -0.14 378.88
FEB2005 380.36 380.36 379.132 0.011 0.951 0.267 380.093
MAR2005 381.91 381.91 379.304 0.05 2.174 0.381 381.529
APR2005 382.3 382.3 379.476 0.09 3.079 -0.345 382.645
MAY2005 382.65 382.65 379.649 0.119 3.266 -0.384 383.034
JUN2005 382.4 382.4 379.821 0.148 2.262 0.168 382.232
JUL2005 380.94 380.94 379.994 0.178 0.309 0.459 380.481
AUG2005 378.79 378.79 380.166 0.19 -1.939 0.374 378.416
SEP2005 376.96 376.96 380.338 0.202 -3.656 0.076 376.884
OCT2005 377.22 377.22 380.507 0.214 -3.511 0.011 377.209
NOV2005 378.82 378.82 380.675 0.213 -2.149 0.08 378.74
DEC2005 380.27 380.27 380.843 0.212 -0.912 0.126 380.144
JAN2006 381.4 381.4 381.012 0.212 0.095 0.082 381.318
FEB2006 382.1 382.1 381.18 0.199 1.015 -0.294 382.394
MAR2006 383.01 383.01 381.349 0.186 1.95 -0.475 383.485
APR2006 384.9 384.9 381.517 0.173 3.01 0.2 384.7
MAY2006 385.6 385.6 381.685 0.169 3.351 0.395 385.205
JUN2006 384.24 384.24 381.854 0.165 2.363 -0.142 384.382
JUL2006 382.46 382.46 382.022 0.16 0.503 -0.226 382.686
AUG2006 380.23 380.23 382.191 0.168 -2.061 -0.068 380.298
SEP2006 378.9 378.9 382.359 0.176 -3.701 0.067 378.833
OCT2006 379.31 379.31 382.527 0.183 -3.377 -0.023 379.333
NOV2006 380.59 380.59 382.693 0.182 -2.106 -0.179 380.769
DEC2006 382 382 382.859 0.18 -0.839 -0.2 382.2
JAN2007 383.47 383.47 383.025 0.179 0.374 -0.107 383.577
FEB2007 384.63 384.63 383.19 0.173 0.963 0.304 384.326
MAR2007 385.6 385.6 383.356 0.168 1.439 0.637 384.963
APR2007 386.7 386.7 383.522 0.162 2.716 0.3 386.4
MAY2007 387.1 387.1 383.688 0.147 3.405 -0.14 387.24
JUN2007 386.53 386.53 383.853 0.132 2.549 -0.004 386.534
JUL2007 384.75 384.75 384.019 0.117 0.605 0.008 384.742
AUG2007 381.86 381.86 384.185 0.089 -2.108 -0.306 382.166
SEP2007 380.53 380.53 384.35 0.061 -3.628 -0.254 380.784
OCT2007 381.37 381.37 384.516 0.033 -3.267 0.087 381.283
NOV2007 382.86 382.86 384.682 0.014 -2.064 0.227 382.633
DEC2007 384.29 384.29 384.848 -0.005 -0.757 0.204 384.086
JAN2008 385.76 385.76 385.014 -0.024 0.523 0.247 385.513
FEB2008 385.94 385.94 385.18 -0.03 0.992 -0.202 386.142
MAR2008 385.8 385.8 385.346 -0.037 1.252 -0.762 386.562
APR2008 387.28 387.28 385.513 -0.044 2.31 -0.499 387.779
MAY2008 388.93 388.93 385.679 -0.056 3.203 0.104 388.826
JUN2008 388.69 388.69 385.845 -0.068 2.615 0.298 388.392
JUL2008 386.88 386.88 386.011 -0.08 0.654 0.295 386.585
AUG2008 384.47 384.47 386.177 -0.099 -1.896 0.288 384.182
SEP2008 383 383 386.343 -0.119 -3.465 0.241 382.759
OCT2008 383.12 383.12 386.509 -0.139 -3.287 0.036 383.084
NOV2008 384.34 384.34 386.675 -0.16 -2.099 -0.076 384.416
DEC2008 385.88 385.88 386.842 -0.181 -0.758 -0.023 385.903
JAN2009 387.21 387.21 387.011 -0.202 0.378 0.024 387.186
FEB2009 387.95 387.95 387.18 -0.233 0.902 0.101 387.849
MAR2009 388.63 388.63 387.35 -0.264 1.377 0.167 388.463
APR2009 389.55 389.55 387.519 -0.294 2.464 -0.138 389.688
MAY2009 390.34 390.34 387.688 -0.307 3.329 -0.37 390.71
JUN2009 389.75 389.75 387.858 -0.32 2.519 -0.306 390.056
JUL2009 387.92 387.92 388.027 -0.333 0.426 -0.2 388.12
AUG2009 386.05 386.05 388.196 -0.312 -1.837 0.003 386.047
SEP2009 384.64 384.64 388.366 -0.291 -3.442 0.008 384.632
OCT2009 384.79 384.79 388.535 -0.271 -3.33 -0.144 384.934
NOV2009 386.19 386.19 388.704 -0.238 -2.167 -0.109 386.299
DEC2009 387.71 387.71 388.873 -0.206 -0.821 -0.137 387.847
JAN2010 388.79 388.79 389.043 -0.173 0.282 -0.362 389.152
FEB2010 389.91 389.91 389.219 -0.141 0.966 -0.135 390.045
MAR2010 391.27 391.27 389.395 -0.108 1.711 0.272 390.998
APR2010 392.79 392.79 389.571 -0.076 2.754 0.54 392.25
MAY2010 393.57 393.57 389.748 -0.055 3.307 0.571 392.999
JUN2010 392.45 392.45 389.924 -0.034 2.352 0.209 392.241
JUL2010 390.27 390.27 390.1 -0.014 0.308 -0.125 390.395
AUG2010 388.17 388.17 390.276 -0.022 -1.981 -0.104 388.274
SEP2010 386.74 386.74 390.452 -0.03 -3.557 -0.125 386.865
OCT2010 387.39 387.39 390.629 -0.038 -3.254 0.054 387.336
NOV2010 388.74 388.74 390.805 -0.068 -2.073 0.076 388.664
DEC2010 390.23 390.23 390.981 -0.097 -0.687 0.033 390.197
JAN2011 391.74 391.74 391.157 -0.126 0.336 0.373 391.367
FEB2011 392.32 392.32 391.333 -0.153 0.795 0.344 391.976
MAR2011 392.82 392.82 391.516 -0.179 1.617 -0.135 392.955
APR2011 393.88 393.88 391.699 -0.205 2.868 -0.482 394.362
MAY2011 394.46 394.46 391.883 -0.232 3.275 -0.465 394.925
JUN2011 393.99 393.99 392.066 -0.259 2.25 -0.067 394.057
JUL2011 392.54 392.54 392.249 -0.286 0.369 0.208 392.332
AUG2011 390.15 390.15 392.432 -0.305 -2.024 0.048 390.102
SEP2011 388.79 388.79 392.615 -0.324 -3.588 0.087 388.703
OCT2011 389.33 389.33 392.798 -0.343 -3.277 0.153 389.177
NOV2011 390.64 390.64 392.981 -0.345 -1.961 -0.035 390.675
DEC2011 392.34 392.34 393.164 -0.347 -0.54 0.063 392.277
JAN2012 393.18 393.18 393.347 -0.348 0.358 -0.177 393.357
FEB2012 393.42 393.42 393.53 -0.339 0.765 -0.536 393.956
MAR2012 394.82 394.82 393.713 -0.331 1.586 -0.149 394.969
APR2012 396.73 396.73 393.905 -0.322 2.787 0.361 396.369
MAY2012 397.15 397.15 394.096 -0.298 3.196 0.156 396.994
JUN2012 396.04 396.04 394.288 -0.273 2.257 -0.232 396.272
JUL2012 394.46 394.46 394.479 -0.248 0.407 -0.178 394.638
AUG2012 392.41 392.41 394.671 -0.211 -1.979 -0.07 392.48
SEP2012 391.05 391.05 394.862 -0.174 -3.521 -0.117 391.167
OCT2012 391.32 391.32 395.054 -0.137 -3.413 -0.184 391.504
NOV2012 393.26 393.26 395.245 -0.098 -1.96 0.073 393.187
DEC2012 394.84 394.84 395.437 -0.059 -0.544 0.005 394.835
JAN2013 395.86 395.86 395.628 -0.019 0.181 0.07 395.79
FEB2013 397 397 395.82 0.011 0.661 0.508 396.492
MAR2013 397.94 397.94 396.011 0.042 1.673 0.214 397.726
APR2013 398.9 398.9 396.203 0.072 2.967 -0.342 399.242
MAY2013 399.81 399.81 396.402 0.082 3.446 -0.121 399.931
JUN2013 399.35 399.35 396.601 0.092 2.49 0.167 399.183
JUL2013 397.39 397.39 396.8 0.103 0.305 0.182 397.208
AUG2013 395.21 395.21 396.999 0.096 -2.107 0.221 394.989
SEP2013 393.92 393.92 397.198 0.089 -3.576 0.208 393.712
OCT2013 394.06 394.06 397.398 0.083 -3.538 0.117 393.943
NOV2013 395.64 395.64 397.597 0.062 -1.97 -0.049 395.689
DEC2013 397.24 397.24 397.796 0.041 -0.519 -0.078 397.318
JAN2014 398.12 398.12 397.995 0.02 0.189 -0.084 398.204
FEB2014 398.55 398.55 398.194 -0.012 0.606 -0.238 398.788
MAR2014 399.98 399.98 398.393 -0.044 1.642 -0.011 399.991
APR2014 401.86 401.86 398.592 -0.076 3.13 0.213 401.647
MAY2014 402.45 402.45 398.791 -0.113 3.583 0.188 402.262
JUN2014 401.6 401.6 398.995 -0.15 2.54 0.215 401.385
JUL2014 399.17 399.17 399.199 -0.187 0.181 -0.024 399.194
AUG2014 396.73 396.73 399.403 -0.225 -2.262 -0.185 396.915
SEP2014 395.56 395.56 399.607 -0.264 -3.688 -0.095 395.655
OCT2014 395.89 395.89 399.81 -0.303 -3.542 -0.076 395.966
NOV2014 397.73 397.73 400.014 -0.334 -2.008 0.059 397.671
DEC2014 399.49 399.49 400.218 -0.366 -0.55 0.188 399.302
JAN2015 400.29 400.29 400.422 -0.398 0.184 0.082 400.208
FEB2015 400.62 400.62 400.626 -0.409 0.504 -0.101 400.721
MAR2015 401.82 401.82 400.829 -0.42 1.68 -0.27 402.09
APR2015 403.91 403.91 401.033 -0.431 3.517 -0.209 404.119
MAY2015 404.37 404.37 401.237 -0.411 3.823 -0.279 404.649
JUN2015 403.13 403.13 401.441 -0.391 2.464 -0.384 403.514
JUL2015 401.16 401.16 401.647 -0.37 0.077 -0.193 401.353
AUG2015 399.14 399.14 401.853 -0.318 -2.477 0.082 399.058
SEP2015 397.89 397.89 402.059 -0.266 -3.988 0.085 397.805
OCT2015 398.46 398.46 402.265 -0.214 -3.515 -0.076 398.536
NOV2015 400.19 400.19 402.472 -0.152 -1.885 -0.245 400.435
DEC2015 401.76 401.76 402.678 -0.089 -0.602 -0.227 401.987
JAN2016 402.95 402.95 402.884 -0.026 0.167 -0.075 403.025
FEB2016 403.86 403.86 403.09 0.029 0.633 0.108 403.752
MAR2016 405.46 405.46 403.296 0.083 1.74 0.34 405.12
APR2016 407.59 407.59 403.503 0.138 3.499 0.45 407.14
MAY2016 408.12 408.12 403.709 0.174 3.86 0.377 407.743
JUN2016 406.82 406.82 403.915 0.21 2.426 0.269 406.551
JUL2016 404.6 404.6 404.121 0.245 0.189 0.045 404.555
AUG2016 401.91 401.91 404.329 0.255 -2.354 -0.32 402.23
SEP2016 400.44 400.44 404.537 0.265 -4.06 -0.302 400.742
OCT2016 401.69 401.69 404.744 0.275 -3.485 0.155 401.535
