lat prs camp flt x yday
5 950 21 4 -0.7553767 218
15 950 21 4 -1.518482 218
-15 350 22 4 -1.045537 34
-5 350 22 4 -0.8983979 33.87179
5 350 22 4 -0.1387218 33
15 350 22 4 0.178457 33
-15 450 22 4 -1.126675 34
-5 450 22 4 -0.9081255 33.79167
5 450 22 4 0.03053416 33
15 450 22 4 -0.2555088 33
-15 550 22 4 -1.199589 34
-5 550 22 4 -0.8525063 33.81429
5 550 22 4 0.09905313 33
15 550 22 4 0.05203619 33
-15 650 22 4 -0.9803238 34
-5 650 22 4 -1.121918 33.79661
5 650 22 4 0.05256558 33
15 650 22 4 0.4384038 33
-15 750 22 4 -0.9207434 34
-5 750 22 4 -1.149162 33.78182
5 750 22 4 -0.3989444 33
15 750 22 4 0.8381628 33
-15 850 22 4 -0.8850061 34
-5 850 22 4 -0.595685 33.76471
5 850 22 4 -0.1168496 33
15 850 22 4 1.169312 33
-15 950 22 4 -0.8455577 34
-5 950 22 4 -0.3879186 33.94286
5 950 22 4 -0.1691729 33
15 950 22 4 1.967338 33
-15 350 23 4 -2.478604 279
-5 350 23 4 -2.539885 279
5 350 23 4 -2.719568 278.2759
15 350 23 4 -3.022865 278
-15 450 23 4 -2.488784 279
-5 450 23 4 -2.592994 279
5 450 23 4 -2.683734 278.5238
15 450 23 4 -3.182489 278
-15 550 23 4 -2.423667 279
-5 550 23 4 -2.521131 279
5 550 23 4 -2.64387 278.4717
15 550 23 4 -3.300144 278
-15 650 23 4 -2.484473 279
-5 650 23 4 -2.438707 279
5 650 23 4 -2.84809 278.5319
15 650 23 4 -3.411275 278
-15 750 23 4 -2.593605 279
-5 750 23 4 -2.508627 279
5 750 23 4 -2.924383 278.475
15 750 23 4 -3.685247 278
-15 850 23 4 -2.710788 279
-5 850 23 4 -2.318454 279
5 850 23 4 -2.50113 278.5
15 850 23 4 -3.88254 278
-15 950 23 4 -2.896904 279
-5 950 23 4 -1.969801 279
5 950 23 4 -2.152173 278.4301
15 950 23 4 -3.944485 278
-15 350 24 4 -1.225016 121
-5 350 24 4 -1.232386 121
5 350 24 4 -0.5281107 120
15 350 24 4 0.7634369 120
-15 450 24 4 -1.46284 121
-5 450 24 4 -1.219898 120.9259
5 450 24 4 -0.8540628 120
15 450 24 4 1.560987 120
-15 550 24 4 -1.316333 121
-5 550 24 4 -0.8030284 120.7049
5 550 24 4 -0.5223843 120
15 550 24 4 0.8949319 120
-15 650 24 4 -1.40123 121
-5 650 24 4 -0.6938174 120.7037
5 650 24 4 -0.2091774 120
15 650 24 4 1.032541 120
-15 750 24 4 -1.558673 121
-5 750 24 4 -0.7435197 120.7059
5 750 24 4 0.03429052 120
15 750 24 4 1.165739 120
-15 850 24 4 -2.505719 121
-5 850 24 4 -0.6570199 120.7073
5 850 24 4 0.2888562 120
15 850 24 4 1.714355 120
-15 950 24 4 -2.832783 121
-5 950 24 4 -0.6660614 120.3785
5 950 24 4 0.9833977 120
15 950 24 4 4.615156 120
-45 350 21 5 -1.940011 220.5319
-35 350 21 5 -1.310773 220
-15 350 21 5 -0.710026 220
-45 450 21 5 -1.964494 220.75
-35 450 21 5 -1.990689 220
-15 450 21 5 -0.8153023 220
-45 550 21 5 -1.91792 220.7818
-35 550 21 5 -2.322282 220
-15 550 21 5 -0.9143933 220
-45 650 21 5 -2.123778 220.9035
-35 650 21 5 -2.487693 220
-25 650 21 5 -1.056222 220
-15 650 21 5 -0.995661 220
-45 750 21 5 -2.401606 221
-35 750 21 5 -2.789152 220
-25 750 21 5 -1.128016 220
-15 750 21 5 -1.113607 220
-45 850 21 5 -2.947598 221
-35 850 21 5 -2.944013 220
-25 850 21 5 -1.231634 220
-15 850 21 5 -1.216445 220
-45 950 21 5 -3.094977 221
