lat prs camp flt x yday
25 450 24 3 4.008489 118.7843
35 450 24 3 5.115263 118
45 450 24 3 3.601797 118
55 450 24 3 3.501354 118
65 450 24 3 3.760618 118
25 550 24 3 4.069501 118.75
35 550 24 3 5.452506 118
45 550 24 3 3.861242 118
55 550 24 3 3.902879 118
65 550 24 3 4.530885 118
25 650 24 3 4.523376 118.6809
35 650 24 3 5.672083 118
45 650 24 3 4.339007 118
55 650 24 3 4.553721 118
65 650 24 3 5.20088 118
25 750 24 3 4.681376 118.6667
35 750 24 3 5.783472 118
45 750 24 3 4.721187 118
55 750 24 3 5.55481 118
25 850 24 3 4.937918 118.6757
35 850 24 3 5.775177 118
45 850 24 3 5.706058 118
55 850 24 3 5.858938 118
15 950 24 3 4.07236 119
25 950 24 3 5.568282 118.7877
35 950 24 3 5.51024 118
45 950 24 3 6.08424 118
55 950 24 3 6.364255 118
-15 350 21 4 -0.8019285 219
-5 350 21 4 -0.8732225 218.6834
5 350 21 4 -0.6983191 218
15 350 21 4 -1.115574 218
-15 450 21 4 -1.108092 219
-5 450 21 4 -1.075454 218.6023
5 450 21 4 -0.8219466 218
15 450 21 4 -0.6305843 218
-15 550 21 4 -1.144185 219
-5 550 21 4 -1.03237 218.5915
5 550 21 4 -0.7276659 218
15 550 21 4 -0.5950613 218
-15 650 21 4 -1.191489 219
-5 650 21 4 -0.9498542 218.4068
5 650 21 4 -0.6565414 218
15 650 21 4 -0.5662106 218
-15 750 21 4 -1.269026 219
-5 750 21 4 -0.8044297 218.525
5 750 21 4 -0.5545529 218
15 750 21 4 -0.6769652 218
-15 850 21 4 -1.333656 219
-5 850 21 4 -0.6996092 218.4444
5 850 21 4 -0.4676581 218
15 850 21 4 -1.226782 218
-15 950 21 4 -1.342015 219
-5 950 21 4 -0.6215256 218.4255
5 950 21 4 -0.3613257 218
15 950 21 4 -1.304422 218
-15 350 22 4 -1.697336 34
-5 350 22 4 -1.236454 33.87179
5 350 22 4 -0.2951612 33
15 350 22 4 0.007097549 33
-15 450 22 4 -1.636928 34
-5 450 22 4 -1.461041 33.79167
5 450 22 4 0.09728801 33
15 450 22 4 0.2901725 33
-15 550 22 4 -1.552194 34
-5 550 22 4 -1.540296 33.81429
5 550 22 4 0.1825986 33
15 550 22 4 0.5359197 33
-15 650 22 4 -1.486406 34
-5 650 22 4 -1.54864 33.79661
5 650 22 4 -0.2376806 33
15 650 22 4 0.6401326 33
-15 750 22 4 -1.34638 34
-5 750 22 4 -1.440586 33.78182
5 750 22 4 -0.6387685 33
15 750 22 4 0.6738886 33
-15 850 22 4 -1.234128 34
-5 850 22 4 -0.9957007 33.76471
5 850 22 4 -0.9470533 33
15 850 22 4 1.121077 33
-15 950 22 4 -1.191478 34
-5 950 22 4 -0.8145886 33.94286
5 950 22 4 -1.07487 33
15 950 22 4 1.21523 33
-15 350 23 4 -2.22167 279
-5 350 23 4 -2.605998 279
5 350 23 4 -2.920923 278.2759
15 350 23 4 -3.088044 278
-15 450 23 4 -2.447074 279
-5 450 23 4 -2.704601 279
5 450 23 4 -2.964686 278.5238
